param,value,unit,comment
,acetaldehyde,,
A,45182.2763388179,MHz,PAM Rotational Constant
B,10120.236804048574,MHz,PAM Rotational Constant
C,8712.67057783438,MHz,PAM Rotational Constant
A,1.5071185125950668,cm-1,PAM Rotational Constant
B,0.33757476327335006,cm-1,PAM Rotational Constant
C,0.29062340780548857,cm-1,PAM Rotational Constant
Paa,48.37859732661021,amu A^2,PAM Second Moment
Pbb,9.626466060860718,amu A^2,PAM Second Moment
Pcc,1.558871423059827,amu A^2,PAM Second Moment
Delta,-3.1177428461196524,amu A^2,PAM Intertial Defect
Rotor,[1 4 5 6],index,Atoms in rotor
A (rotor),267664.4874165013,MHz,Rotational Constant of Rotor Atoms
B (rotor),257627.4897580687,MHz,Rotational Constant of Rotor Atoms
C (rotor),158361.37534467605,MHz,Rotational Constant of Rotor Atoms (F0)
A (rotor),8.92832625617624,cm-1,Rotational Constant of Rotor Atoms
B (rotor),8.593528051932136,cm-1,Rotational Constant of Rotor Atoms
C (rotor),5.282366888118181,cm-1,Rotational Constant of Rotor Atoms (F0)
I_alpha,3.1913022227893055,amu A^2,Rotor Moment of Inertia
lambda_a,0.937190425291902,,Direction Cosine of Rotor
lambda_b,0.34881815712656433,,Direction Cosine of Rotor
lambda_c,-1.0494672528880454e-07,,Direction Cosine of Rotor
rho_a,0.2673909385130669,,Component of rho Axis
rho_b,0.02229156158810371,,Component of rho Axis
rho_c,-5.773922104892698e-09,,Component of rho Axis
r,0.7416280711831017,,r Parameter for F Calculation
rho,0.26831851914643345,,Magnitude of rho Vector
F,213532.06748504803,MHz,RAM Torsion-Rotational Constant
A_ram,45026.080618013286,MHz,RAM Rotational Constant
B_ram,10085.25101292845,MHz,RAM Rotational Constant
C_ram,8712.670577834377,MHz,RAM Rotational Constant
D_ab,2912.90968726348,MHz,RAM Off-Diagonal Rotational Constant
D_bc,1.6863542917595122e-05,MHz,RAM Off-Diagonal Rotational Constant
D_ac,-0.0007847861695492806,MHz,RAM Off-Diagonal Rotational Constant
F,7.122663088644079,cm-1,RAM Torsion-Rotational Constant
A_ram,1.5019083841666652,cm-1,RAM Rotational Constant
