param,value,unit,comment
,acetaldehyde,,
A,55755.723673334396,MHz,PAM Rotational Constant
B,10123.18281913227,MHz,PAM Rotational Constant
C,9045.72803701651,MHz,PAM Rotational Constant
A,1.8598107519213973,cm-1,PAM Rotational Constant
B,0.3376730317589333,cm-1,PAM Rotational Constant
C,0.3017330088075968,cm-1,PAM Rotational Constant
Paa,48.36406469011286,amu A^2,PAM Second Moment
Pbb,7.505292322760788,amu A^2,PAM Second Moment
Pcc,1.5588714230527678,amu A^2,PAM Second Moment
Delta,-3.117742846105532,amu A^2,PAM Intertial Defect
Rotor,[1 4 5 6],index,Atoms in rotor
A (rotor),267664.4874165015,MHz,Rotational Constant of Rotor Atoms
B (rotor),257627.48975806872,MHz,Rotational Constant of Rotor Atoms
C (rotor),158361.3753446761,MHz,Rotational Constant of Rotor Atoms (F0)
A (rotor),8.928326256176248,cm-1,Rotational Constant of Rotor Atoms
B (rotor),8.593528051932138,cm-1,Rotational Constant of Rotor Atoms
C (rotor),5.282366888118183,cm-1,Rotational Constant of Rotor Atoms (F0)
I_alpha,3.1913022227893046,amu A^2,Rotor Moment of Inertia
lambda_a,0.9390309587707641,,Direction Cosine of Rotor
lambda_b,0.3438326023954784,,Direction Cosine of Rotor
lambda_c,1.1325715304530318e-07,,Direction Cosine of Rotor
rho_a,0.3306131343199978,,Component of rho Axis
rho_b,0.0219793512505918,,Component of rho Axis
rho_c,6.469338893178607e-09,,Component of rho Axis
r,0.681986813957829,,r Parameter for F Calculation
rho,0.3313429288007967,,Magnitude of rho Vector
F,232205.9196799492,MHz,RAM Torsion-Rotational Constant
A_ram,55632.91972650803,MHz,RAM Rotational Constant
B_ram,10100.886152122479,MHz,RAM Rotational Constant
C_ram,9045.72803701651,MHz,RAM Rotational Constant
D_ab,3026.9957699760557,MHz,RAM Off-Diagonal Rotational Constant
D_bc,-1.2426972524855865e-05,MHz,RAM Off-Diagonal Rotational Constant
D_ac,0.0009119940858973531,MHz,RAM Off-Diagonal Rotational Constant
F,7.745555749769703,cm-1,RAM Torsion-Rotational Constant
A_ram,1.8557144531804075,cm-1,RAM Rotational Constant
B_ram,0.3369292950032278,cm-1,RAM Rotational Constant
C_ram,0.3017330088075968,cm-1,RAM Rotational Constant
D_ab,0.10096971051806966,cm-1,RAM Off-Diagonal Rotational Constant
D_bc,-4.1451918463058416e-10,cm-1,RAM Off-Diagonal Rotational Constant
D_ac,3.0420848208841634e-08,cm-1,RAM Off-Diagonal Rotational Constant
dIr,0.3509953077466777,rad,CAM delta angle (Ir representation)
eIr,3.2951450925314547e-07,rad,CAM epsilon angle (Ir representation)
bIr,0.06638289317250982,rad,CAM beta angle (Ir representation)
gIr,2.9427435484724594e-07,rad,CAM gamma angle (Ir representation)
dIr,20.11054976278012,deg,CAM delta angle (Ir representation)
eIr,1.8879790668529747e-05,deg,CAM epsilon angle (Ir representation)
bIr,3.8034596106526206,deg,CAM beta angle (Ir representation)
gIr,1.686067855168235e-05,deg,CAM gamma angle (Ir representation)
dIIr,1.219801019048238,rad,CAM delta angle (IIr representation)
eIIr,1.5707962061842267,rad,CAM epsilon angle (IIr representation)
bIIr,1.5044134336223889,rad,CAM beta angle (IIr representation)
gIIr,1.5707963072271958,rad,CAM gamma angle (IIr representation)
dIIr,69.88945023722097,deg,CAM delta angle (IIr representation)
eIIr,89.99999308951764,deg,CAM epsilon angle (IIr representation)
bIIr,86.19654038934749,deg,CAM beta angle (IIr representation)
gIIr,89.99999887885333,deg,CAM gamma angle (IIr representation)
dIIIr,1.5707962135377436,rad,CAM delta angle (IIIr representation)
eIIIr,0.3509953077466606,rad,CAM epsilon angle (IIIr representation)
bIIIr,1.5707963072702944,rad,CAM beta angle (IIIr representation)
gIIIr,0.06638289317250816,rad,CAM gamma angle (IIIr representation)
dIIIr,89.99999351084314,deg,CAM delta angle (IIIr representation)
eIIIr,20.110549762779144,deg,CAM epsilon angle (IIIr representation)
bIIIr,89.9999988813227,deg,CAM beta angle (IIIr representation)
gIIIr,3.8034596106525256,deg,CAM gamma angle (IIIr representation)
dIl,0.3509953077466777,rad,CAM delta angle (Il representation)
eIl,1.5707959973986956,rad,CAM epsilon angle (Il representation)
bIl,0.06638289317250982,rad,CAM beta angle (Il representation)
gIl,1.570796032457779,rad,CAM gamma angle (Il representation)
dIl,20.11054976278012,deg,CAM delta angle (Il representation)
eIl,89.9999811269879,deg,CAM epsilon angle (Il representation)
bIl,3.8034596106526206,deg,CAM beta angle (Il representation)
gIl,89.9999831357254,deg,CAM gamma angle (Il representation)
dIIl,1.219801019048238,rad,CAM delta angle (IIl representation)
eIIl,1.2105760581248948e-07,rad,CAM epsilon angle (IIl representation)
bIIl,1.5044134336223889,rad,CAM beta angle (IIl representation)
gIIl,2.1073424255447017e-08,rad,CAM gamma angle (IIl representation)
dIIl,69.88945023722097,deg,CAM delta angle (IIl representation)
eIIl,6.9360898910140305e-06,deg,CAM epsilon angle (IIl representation)
bIIl,86.19654038934749,deg,CAM beta angle (IIl representation)
gIIl,1.2074182697257333e-06,deg,CAM gamma angle (IIl representation)
dIIIl,1.5707962135377436,rad,CAM delta angle (IIIl representation)
eIIIl,1.2198010190482356,rad,CAM epsilon angle (IIIl representation)
bIIIl,1.5707963072702944,rad,CAM beta angle (IIIl representation)
gIIIl,1.5044134336223889,rad,CAM gamma angle (IIIl representation)
dIIIl,89.99999351084314,deg,CAM delta angle (IIIl representation)
eIIIl,69.88945023722084,deg,CAM epsilon angle (IIIl representation)
bIIIl,89.9999988813227,deg,CAM beta angle (IIIl representation)
gIIIl,86.19654038934749,deg,CAM gamma angle (IIIl representation)
C0,13.00335483534,amu,"0.14311491,0.40518569,-0.00000101"
C1,12.0,amu,"-1.27118247,-0.11151673,-0.00000128"
O2,15.99491461926,amu,"1.12905068,-0.29904270,0.00000170"
H3,1.007825031898,amu,"0.24321260,1.50825276,-0.00000452"
H4,1.007825031898,amu,"-1.27711166,-1.19997479,-0.00017574"
H5,1.007825031898,amu,"-1.79781205,0.26870470,0.87951334"
H6,1.007825031898,amu,"-1.79791546,0.26898748,-0.87933166"
f_a,0.0104560883045531,,Fractional abundance of this isotopologue
