param,value,unit,comment
,acetaldehyde,,
A,52461.95934406609,MHz,PAM Rotational Constant
B,9380.338150044467,MHz,PAM Rotational Constant
C,8568.848885797572,MHz,PAM Rotational Constant
A,1.7499426000925644,cm-1,PAM Rotational Constant
B,0.31289440076722896,cm-1,PAM Rotational Constant
C,0.28582603254807604,cm-1,PAM Rotational Constant
Paa,51.61090240091933,amu A^2,PAM Second Moment
Pbb,7.367732404868427,amu A^2,PAM Second Moment
Pcc,2.265514531773082,amu A^2,PAM Second Moment
Delta,-4.531029063546164,amu A^2,PAM Intertial Defect
Rotor,[1 4 5 6],index,Atoms in rotor
A (rotor),254725.2182731223,MHz,Rotational Constant of Rotor Atoms
B (rotor),169203.09470113568,MHz,Rotational Constant of Rotor Atoms
C (rotor),119590.45901550833,MHz,Rotational Constant of Rotor Atoms (F0)
A (rotor),8.496718695742583,cm-1,Rotational Constant of Rotor Atoms
B (rotor),5.644007718871156,cm-1,Rotational Constant of Rotor Atoms
C (rotor),3.989108325583972,cm-1,Rotational Constant of Rotor Atoms (F0)
I_alpha,4.2259141180811035,amu A^2,Rotor Moment of Inertia
lambda_a,-0.916713437851523,,Direction Cosine of Rotor
lambda_b,-0.38843263042369786,,Direction Cosine of Rotor
lambda_c,0.09357651673667407,,Direction Cosine of Rotor
rho_a,-0.402143979566874,,Component of rho Axis
rho_b,-0.030467559468210042,,Component of rho Axis
rho_c,0.006704908048491438,,Component of rho Axis
r,0.6188871937729135,,r Parameter for F Calculation
rho,0.4033522136715875,,Magnitude of rho Vector
F,193234.66411778642,MHz,RAM Torsion-Rotational Constant
A_ram,52304.810514008575,MHz,RAM Rotational Constant
B_ram,8486.935718464018,MHz,RAM Rotational Constant
C_ram,7778.402166230807,MHz,RAM Rotational Constant
D_ab,-3254.2076409291126,MHz,RAM Off-Diagonal Rotational Constant
D_bc,7523.843297131581,MHz,RAM Off-Diagonal Rotational Constant
D_ac,729.6334558475712,MHz,RAM Off-Diagonal Rotational Constant
F,6.445614589736825,cm-1,RAM Torsion-Rotational Constant
A_ram,1.744700679361606,cm-1,RAM Rotational Constant
B_ram,0.28309370339343287,cm-1,RAM Rotational Constant
C_ram,0.25945956806661247,cm-1,RAM Rotational Constant
D_ab,-0.10854868273334323,cm-1,RAM Off-Diagonal Rotational Constant
D_bc,0.25096839818203764,cm-1,RAM Off-Diagonal Rotational Constant
D_ac,0.02433795235260959,cm-1,RAM Off-Diagonal Rotational Constant
dIr,2.7305718365732803,rad,CAM delta angle (Ir representation)
eIr,2.9051893300160936,rad,CAM epsilon angle (Ir representation)
gIr,3.0641720076723713,rad,CAM gamma angle (Ir representation)
bIr,2.9249783286851327,rad,CAM beta angle (Ir representation)
dIr,156.4502418929349,deg,CAM delta angle (Ir representation)
eIr,166.45508729636146,deg,CAM epsilon angle (Ir representation)
gIr,175.56412374175497,deg,CAM gamma angle (Ir representation)
bIr,167.5889134008874,deg,CAM beta angle (Ir representation)
dIIr,1.969726376837465,rad,CAM delta angle (IIr representation)
eIIr,1.67252224064029,rad,CAM epsilon angle (IIr representation)
gIIr,1.646404210023011,rad,CAM gamma angle (IIr representation)
bIIr,1.587467686315735,rad,CAM beta angle (IIr representation)
dIIr,112.8570081883819,deg,CAM delta angle (IIr representation)
eIIr,95.82846553045248,deg,CAM epsilon angle (IIr representation)
gIIr,94.33201260688891,deg,CAM gamma angle (IIr representation)
bIIr,90.9551985392893,deg,CAM beta angle (IIr representation)
dIIIr,1.4770827009621883,rad,CAM delta angle (IIIr representation)
eIIIr,0.40078857762934184,rad,CAM epsilon angle (IIIr representation)
gIIIr,1.5541726003192624,rad,CAM gamma angle (IIIr representation)
bIIIr,0.07561835144460988,rad,CAM beta angle (IIIr representation)
