param,value,unit,comment
,acetaldehyde,,
A,56230.42900510829,MHz,PAM Rotational Constant
B,9639.34363835148,MHz,PAM Rotational Constant
C,8668.79019829343,MHz,PAM Rotational Constant
A,1.8756452173692872,cm-1,PAM Rotational Constant
B,0.32153389390307746,cm-1,PAM Rotational Constant
C,0.2891597158956357,cm-1,PAM Rotational Constant
Paa,50.86990672847145,amu A^2,PAM Second Moment
Pbb,7.428771354766397,amu A^2,PAM Second Moment
Pcc,1.5588714230527927,amu A^2,PAM Second Moment
Delta,-3.1177428461055854,amu A^2,PAM Intertial Defect
Rotor,[1 4 5 6],index,Atoms in rotor
A (rotor),267664.48741650133,MHz,Rotational Constant of Rotor Atoms
B (rotor),257627.48975806872,MHz,Rotational Constant of Rotor Atoms
C (rotor),158361.3753446761,MHz,Rotational Constant of Rotor Atoms (F0)
A (rotor),8.928326256176241,cm-1,Rotational Constant of Rotor Atoms
B (rotor),8.593528051932138,cm-1,Rotational Constant of Rotor Atoms
C (rotor),5.282366888118183,cm-1,Rotational Constant of Rotor Atoms (F0)
I_alpha,3.1913022227893046,amu A^2,Rotor Moment of Inertia
lambda_a,0.9434259617361601,,Direction Cosine of Rotor
lambda_b,0.3315832545865051,,Direction Cosine of Rotor
lambda_c,1.5011610307291804e-07,,Direction Cosine of Rotor
rho_a,0.3349885440658659,,Component of rho Axis
rho_b,0.020183235518923905,,Component of rho Axis
rho_c,8.217439385659307e-09,,Component of rho Axis
r,0.6772706877226125,,r Parameter for F Calculation
rho,0.33559601852730764,,Magnitude of rho Vector
F,233822.8690764418,MHz,RAM Torsion-Rotational Constant
A_ram,56128.64427677208,MHz,RAM Rotational Constant
B_ram,9621.895114644152,MHz,RAM Rotational Constant
C_ram,8668.790198293427,MHz,RAM Rotational Constant
D_ab,2802.0560350093197,MHz,RAM Off-Diagonal Rotational Constant
D_bc,-1.3492767121289814e-05,MHz,RAM Off-Diagonal Rotational Constant
D_ac,0.0011645992872404121,MHz,RAM Off-Diagonal Rotational Constant
F,7.799491376011927,cm-1,RAM Torsion-Rotational Constant
A_ram,1.8722500442880414,cm-1,RAM Rotational Constant
B_ram,0.3209518738007796,cm-1,RAM Rotational Constant
